ensemble,model,weight,quantile,window,horizons
QRA (weighted quantiles),Rt,0.011,0.8,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.465,0.8,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.463,0.85,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.005,0.85,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.532,0.85,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.463,0.9,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.005,0.9,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.532,0.9,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.463,0.95,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.005,0.95,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.532,0.95,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.463,0.975,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.005,0.975,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.532,0.975,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.463,0.99,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.005,0.99,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.532,0.99,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.502,,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.183,,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.314,,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.502,0.01,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.234,0.01,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Timeseries,0.264,0.01,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Case convolution,0.502,0.025,4,"1, 2, 3, 4"
QRA (weighted counts and quantiles),Rt,0.234,0.025,4,"1, 2, 3, 4"
